Profil;h;b;d;t;r;A;Wely;Welz;Wply;Wplz;Iy;Iz;Iv;Iw;g;iy;iz;Avy;Avz;Wv
-;mm;mm;mm;mm;mm;mm2;mm3;mm3;mm3;mm3;mm4;mm4;mm4;mm6;kg/m;mm;mm;mm2;mm2;mm3
RHS100x60x4-K;100;60;4;4;4;1170;30500;22900;37900;26600;1530000;687000;1560000;0;9.22;36;24.2;731.3;438.8;38700
RHS100x60x5-K;100;60;5;5;5;1440;36200;26900;45600;31900;1810000;808000;1880000;0;11.3;35.5;23.7;900.0;540.0;45800
RHS100x60x6-K;100;60;6;6;6;1680;41100;30400;52500;36600;2050000;912000;2160000;0;13.2;34.9;23.3;1050.0;630.0;51900
RHS100x80x4-K;100;80;4;4;4;1330;37900;33500;45600;39200;1890000;1340000;2540000;0;10.5;37.7;31.7;738.9;591.1;53400
RHS100x80x5-K;100;80;5;5;5;1640;45200;39900;55100;47200;2260000;1600000;3080000;0;12.8;37.2;31.2;911.1;728.9;63700
RHS120x60x4-K;120;60;4;4;4;1330;40100;27100;50500;31100;2410000;812000;2010000;0;10.5;42.5;24.7;886.7;443.3;47000
RHS120x60x5-K;120;60;5;5;5;1640;47800;32000;60900;37400;2870000;960000;2420000;0;12.8;41.9;24.2;1093.3;546.7;55800
RHS120x60x6-K;120;60;6;6;6;1920;54700;36300;70600;43100;3280000;1090000;2800000;0;15.1;41.3;23.8;1280.0;640.0;63600
RHS120x80x4-K;120;80;4;4;4;1490;49100;39300;59800;45200;2950000;1570000;3310000;0;11.7;44.4;32.4;894.0;596.0;64900
RHS120x80x5-K;120;80;5;5;5;1840;58900;46900;72400;54700;3530000;1880000;4020000;0;14.4;43.9;32;1104.0;736.0;77800
RHS120x80x6-K;120;80;6;6;6;2160;67700;53800;84300;63500;4060000;2150000;4690000;0;17;43.3;31.5;1296.0;864.0;89400
RHS120x80x8-K;120;80;8;8;12;2720;79300;62900;102000;76900;4760000;2520000;5840000;0;21.4;41.8;30.4;1632.0;1088.0;108000
RHS140x80x4-K;140;80;4;4;4;1650;61400;45100;75500;51300;4300000;1800000;4120000;0;13;51;33;1050.0;600.0;76500
RHS140x80x5-K;140;80;5;5;5;2040;73900;54000;91800;62200;5170000;2160000;5010000;0;16;50.4;32.6;1298.2;741.8;91800
RHS140x80x6-K;140;80;6;6;6;2400;85300;62000;107000;72400;5970000;2480000;5840000;0;18.9;49.8;32.1;1527.3;872.7;106000
RHS150x100x5-K;150;100;5;5;5;2340;95900;76800;117000;88300;7190000;3840000;8090000;0;18.3;55.5;40.5;1404.0;936.0;127000
RHS150x100x6-K;150;100;6;6;6;2760;111000;88800;137000;103000;8350000;4440000;9480000;0;21.7;55;40.1;1656.0;1104.0;147000
RHS150x100x8-K;150;100;8;8;12;3520;134000;107000;169000;128000;10100000;5360000;12100000;0;27.7;53.5;39;2112.0;1408.0;182000
